iter	Logloss
276	0.4398404472
277	0.4386088751
278	0.4376814556
279	0.4371129756
280	0.4366351067
281	0.4360685281
282	0.4351378066
283	0.4341433228
284	0.4333991115
285	0.4326314048
286	0.4321736342
287	0.4316945087
288	0.4305280025
289	0.4296307286
290	0.4290305532
291	0.4285564041
292	0.4280885422
293	0.427670755
294	0.4270376518
295	0.4266425392
296	0.4260824012
297	0.4255626126
298	0.4246736015
299	0.4235936866
300	0.4226522383
301	0.4219393558
302	0.4211933984
303	0.420626355
304	0.4194345263
305	0.4185720314
306	0.4177734536
307	0.4173632052
308	0.4167055477
309	0.415990508
310	0.4154548355
311	0.4145810482
312	0.4136405106
313	0.4128733894
314	0.4124282279
315	0.4118104321
316	0.4108736403
317	0.4104224896
318	0.409534028
319	0.4085707915
320	0.4080851937
321	0.4073443204
322	0.4065709539
323	0.4059275164
324	0.4050042158
325	0.4042431012
326	0.4037505944
327	0.4029493961
328	0.4022389913
329	0.4014778935
330	0.4006348814
331	0.4000222884
332	0.3993381313
333	0.3985144471
334	0.3979423591
335	0.3972138878
336	0.3966222883
337	0.396115321
338	0.3952893347
339	0.3946158783
340	0.3938775156
341	0.3928783326
342	0.3923650178
343	0.3916062301
344	0.3909405702
345	0.3902155145
346	0.389819653
347	0.3891738623
348	0.3882148219
349	0.3878693429
350	0.3873807319
351	0.3865468704
352	0.3859554488
353	0.3852649289
354	0.384280611
355	0.3836865582
356	0.3828282223
357	0.3824376692
358	0.3816936774
359	0.3812242665
360	0.3804717781
361	0.3799304532
362	0.3793075608
363	0.378582966
364	0.3782055348
365	0.3775378061
366	0.3767824663
367	0.3756569445
368	0.3752710865
369	0.3745068496
370	0.3742060717
371	0.3737664962
372	0.3728683317
373	0.3721917629
374	0.3714385711
375	0.3704942745
376	0.3697833127
377	0.3691022785
378	0.3685026917
379	0.3679617096
380	0.3674115039
381	0.3666210758
382	0.3659991271
383	0.3651892461
384	0.3645989605
385	0.3638587278
386	0.363115047
387	0.3622504455
388	0.3617175859
389	0.3611148925
390	0.3607182913
391	0.3604325692
392	0.3600878077
393	0.359238807
394	0.3584965787
395	0.357504641
396	0.357238736
397	0.3565656208
398	0.3560500195
399	0.3550073865
